City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,Tura,25.5198,90.2201,75.54,80,0,1.54,IN,2022-10-17 02:12:30
138,Tiksi,71.6872,128.8694,19.18,88,100,19.51,RU,2022-10-17 02:13:48
139,Ponta Do Sol,32.6667,-17.1,70.0,74,88,4.43,PT,2022-10-17 02:16:10
140,Buala,-8.145,159.5921,86.92,57,100,6.35,SB,2022-10-17 02:21:36
141,Lata,40.1629,-8.3327,65.8,81,96,4.34,PT,2022-10-17 02:21:37
142,Zamora,-4.0692,-78.9567,67.14,98,60,2.01,EC,2022-10-17 02:21:37
143,Belmonte,-15.8631,-38.8828,72.39,86,11,4.9,BR,2022-10-17 02:21:38
144,Hualmay,-11.0964,-77.6139,62.31,81,82,10.83,PE,2022-10-17 02:21:38
145,Rocky Mountain House,52.3668,-114.9188,50.11,62,6,3.44,CA,2022-10-17 02:18:56
146,Belomorsk,64.5232,34.7668,50.81,89,100,12.26,RU,2022-10-17 02:21:38
147,Ballina,-28.8667,153.5667,73.02,76,35,12.59,AU,2022-10-17 02:21:39
148,Mucurapo,10.6667,-61.5333,78.85,93,1,6.62,TT,2022-10-17 02:21:39
149,Maldonado,-34.6667,-54.9167,56.23,92,73,8.75,UY,2022-10-17 02:21:39
150,Ancud,-41.8697,-73.8203,50.07,89,100,2.21,CL,2022-10-17 02:21:40
151,Okmulgee,35.6234,-95.9605,63.37,55,0,0.0,US,2022-10-17 02:21:40
152,Norman Wells,65.282,-126.8329,33.84,80,40,3.44,CA,2022-10-17 02:19:03
153,Alihe,50.5667,123.7167,35.65,36,5,9.17,CN,2022-10-17 02:21:40
154,Palm City,27.1678,-80.2662,80.06,77,40,3.0,US,2022-10-17 02:21:41
155,Barrow,71.2906,-156.7887,30.22,80,100,23.02,US,2022-10-17 02:10:43
156,Coihaique,-45.5752,-72.0662,56.01,71,1,2.3,CL,2022-10-17 02:13:36
157,Okhotsk,59.3833,143.3,29.16,45,1,14.12,RU,2022-10-17 02:21:41
158,Sibolga,1.7427,98.7792,80.64,67,100,0.22,ID,2022-10-17 02:16:23
159,Salou,41.0766,1.1416,70.03,89,0,6.91,ES,2022-10-17 02:21:42
160,Pionerskiy,54.9508,20.2275,51.75,86,100,13.18,RU,2022-10-17 02:21:42
161,Igarka,67.4667,86.5833,29.84,94,100,7.96,RU,2022-10-17 02:21:42
162,Itamarandiba,-17.8572,-42.8589,60.4,65,6,3.24,BR,2022-10-17 02:21:43
163,Orlik,52.5178,99.825,27.19,37,9,2.44,RU,2022-10-17 02:21:43
164,Haines Junction,60.7522,-137.5108,44.55,87,100,3.44,CA,2022-10-17 02:21:43
165,Kavaratti,10.5669,72.642,80.37,77,100,0.29,IN,2022-10-17 02:16:24
166,Linxia,35.6003,103.2064,49.03,39,74,1.28,CN,2022-10-17 02:21:44
167,Chuy,-33.6971,-53.4616,58.48,91,100,17.98,UY,2022-10-17 02:13:30
168,Guilin,25.2819,110.2864,80.71,27,100,14.41,CN,2022-10-17 02:18:44
169,Cotonou,6.3654,2.4183,78.37,83,100,2.13,BJ,2022-10-17 02:19:37
170,Dalhousie,32.5333,75.9833,50.56,64,0,6.2,IN,2022-10-17 02:21:45
171,Itambacuri,-18.0311,-41.685,67.98,78,38,4.83,BR,2022-10-17 02:18:54
172,Salalah,17.0151,54.0924,75.49,58,100,0.85,OM,2022-10-17 02:11:32
173,Tucuman,-26.8241,-65.2226,62.6,72,100,2.3,AR,2022-10-17 02:19:44
174,Uivar,45.6581,20.9058,48.11,62,9,4.52,RO,2022-10-17 02:21:46
175,Kavieng,-2.5744,150.7967,83.98,74,100,11.36,PG,2022-10-17 02:14:53
176,Yeniseysk,58.4497,92.1703,32.99,75,95,5.48,RU,2022-10-17 02:21:46
177,Sao Filipe,14.8961,-24.4956,77.7,76,39,9.08,CV,2022-10-17 02:21:46
178,Porto Novo,6.4965,2.6036,76.91,88,100,1.03,BJ,2022-10-17 02:19:22
179,Spring Valley,36.108,-115.245,77.85,33,20,3.44,US,2022-10-17 02:16:52
180,Torbay,47.6666,-52.7314,54.57,92,100,5.99,CA,2022-10-17 02:12:26
181,Requena,39.4883,-1.1004,61.52,76,74,3.65,ES,2022-10-17 02:21:47
182,Banyo,6.75,11.8167,63.1,92,25,1.9,CM,2022-10-17 02:22:47
183,Bonavista,48.6499,-53.1147,52.32,81,100,18.34,CA,2022-10-17 02:22:48
184,Christchurch,-43.5333,172.6333,58.41,72,100,5.75,NZ,2022-10-17 02:19:17
185,Sobolevo,54.4299,31.8996,43.88,70,100,15.01,RU,2022-10-17 02:22:48
186,Gorontalo,0.5412,123.0595,88.2,63,100,2.42,ID,2022-10-17 02:22:49
187,Puro,12.4841,123.3827,85.39,71,83,13.09,PH,2022-10-17 02:22:49
188,Bilibino,68.0546,166.4372,0.3,95,64,1.34,RU,2022-10-17 02:13:39
189,Luganville,-15.5333,167.1667,82.71,73,34,8.57,VU,2022-10-17 02:22:50
190,Hit,33.6416,42.8251,76.01,19,83,3.85,IQ,2022-10-17 02:22:51
191,Grevesmuhlen,53.8667,11.1833,52.84,92,96,8.72,DE,2022-10-17 02:22:51
192,Nioro,13.35,-15.75,75.81,91,74,3.09,GM,2022-10-17 02:22:51
193,Kodiak,57.79,-152.4072,51.31,71,75,14.97,US,2022-10-17 02:12:04
194,Russell,32.3502,-85.1999,71.2,55,100,2.93,US,2022-10-17 02:22:52
195,Fortuna,40.5982,-124.1573,61.93,77,0,0.0,US,2022-10-17 02:22:52
196,Luderitz,-26.6481,15.1594,57.61,92,0,7.38,NA,2022-10-17 02:14:55
197,Zonguldak,41.25,31.8333,51.69,93,100,1.34,TR,2022-10-17 02:22:52
198,Khandbari,27.3747,87.2039,70.07,49,0,2.35,NP,2022-10-17 02:22:53
199,Severo-Kurilsk,50.6789,156.125,50.2,81,100,18.37,RU,2022-10-17 02:14:57
200,Zhob,31.3411,69.4481,63.52,18,0,3.6,PK,2022-10-17 02:22:53
201,Ixtapa,20.7,-105.2,83.43,79,40,2.3,MX,2022-10-17 02:22:53
202,Kanturk,52.1667,-8.9,52.54,80,99,24.16,IE,2022-10-17 02:22:54
203,Husavik,66.0449,-17.3389,36.28,96,100,2.77,IS,2022-10-17 02:22:54
204,Olafsvik,64.8945,-23.7142,37.04,80,35,11.81,IS,2022-10-17 02:22:54
205,Zabid,14.1951,43.3152,83.07,69,0,2.3,YE,2022-10-17 02:22:55
206,Inta,66.0317,60.1659,38.82,95,100,10.36,RU,2022-10-17 02:22:55
207,Tabuk,17.4189,121.4443,83.26,66,99,3.89,PH,2022-10-17 02:22:55
208,Abu Samrah,35.3029,37.1841,67.96,52,0,4.9,SY,2022-10-17 02:22:56
209,Portland,45.5234,-122.6762,72.75,59,20,9.22,US,2022-10-17 02:18:23
210,Lompoc,34.6391,-120.4579,63.01,82,0,5.75,US,2022-10-17 02:08:56
211,Bonthe,7.5264,-12.505,76.51,87,100,3.94,SL,2022-10-17 02:22:56
212,Dunedin,-45.8742,170.5036,55.8,69,100,4.9,NZ,2022-10-17 02:22:56
213,Hambantota,6.1241,81.1185,78.46,81,100,11.77,LK,2022-10-17 02:22:57
214,Jose Bonifacio,-21.0528,-49.6883,78.06,49,94,9.91,BR,2022-10-17 02:22:57
215,Pangody,65.85,74.4859,37.62,94,100,5.37,RU,2022-10-17 02:22:57
216,Boende,-0.2167,20.8667,69.08,98,100,2.15,CD,2022-10-17 02:14:51
217,Yarovoye,52.9273,78.58,45.52,86,100,11.99,RU,2022-10-17 02:22:58
218,Kamenka,51.3223,42.7678,36.34,75,5,1.32,RU,2022-10-17 02:22:58
219,Henties Bay,-22.116,14.2845,57.85,92,4,1.5,NA,2022-10-17 02:22:59
220,Kajaani,64.2273,27.7285,41.05,100,100,1.14,FI,2022-10-17 02:22:59
221,Xunchang,28.4543,104.715,68.38,57,8,2.53,CN,2022-10-17 02:22:59
222,Longyearbyen,78.2186,15.6401,21.04,79,0,11.5,SJ,2022-10-17 02:23:00
223,Airai,-8.9266,125.4092,77.92,39,32,2.71,TL,2022-10-17 02:23:00
224,Meulaboh,4.1363,96.1285,78.55,76,100,4.03,ID,2022-10-17 02:23:01
225,West Bay,19.3667,-81.4167,82.99,85,20,1.14,KY,2022-10-17 02:23:01
226,Babushkin,51.7122,105.8647,39.97,45,16,3.91,RU,2022-10-17 02:23:02
227,Cidreira,-30.1811,-50.2056,63.21,98,86,3.38,BR,2022-10-17 02:14:57
228,Neiafu,-18.65,-173.9833,83.08,78,40,10.36,TO,2022-10-17 02:24:02
229,Upernavik,72.7868,-56.1549,37.04,94,100,20.71,GL,2022-10-17 02:14:59
230,Jaen,38.0,-3.5,70.25,45,100,8.57,ES,2022-10-17 02:24:03
231,Great Falls,47.5002,-111.3008,58.68,53,0,8.05,US,2022-10-17 02:21:27
232,Arauco,-37.2463,-73.3175,49.8,93,25,6.98,CL,2022-10-17 02:24:03
233,Fort Nelson,58.8053,-122.7002,35.19,75,20,3.44,CA,2022-10-17 02:24:04
234,Oga,46.4631,10.347,44.8,87,38,1.9,IT,2022-10-17 02:24:04
235,Muros,42.7762,-9.0603,59.68,91,100,8.03,ES,2022-10-17 02:24:05
