City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,New Norfolk,AU,5/13/2020 19:43,-42.78,147.06,48.99,79,82,1.99
123,Kapaa,US,5/13/2020 19:43,22.08,-159.32,77,83,75,9.17
124,Makarska,HR,5/13/2020 19:43,43.3,17.02,71.6,43,100,12.75
125,Aklavik,CA,5/13/2020 19:43,68.22,-135.01,21.2,79,90,11.41
126,Dikson,RU,5/13/2020 19:43,73.51,80.55,18.82,88,40,8.5
127,Russell,US,5/13/2020 19:43,32.35,-85.2,82.99,34,1,6.93
128,Teterow,DE,5/13/2020 19:43,53.78,12.57,46,87,75,4.7
129,Hasaki,JP,5/13/2020 19:43,35.73,140.83,54,76,40,2.24
130,Arman,RU,5/13/2020 19:43,59.7,150.17,36.73,83,11,3.47
131,Provideniya,RU,5/13/2020 19:43,64.38,-173.3,33.93,92,100,13.24
132,Monastyrshchina,RU,5/13/2020 19:43,54.35,31.84,41.68,87,99,7.78
133,Cape Town,ZA,5/13/2020 19:42,-33.93,18.42,57.2,82,20,3.36
134,Bredasdorp,ZA,5/13/2020 19:43,-34.53,20.04,59,77,1,4.7
135,Nome,US,5/13/2020 19:40,64.5,-165.41,48,61,1,3.36
136,Ilulissat,GL,5/13/2020 19:43,69.22,-51.1,41,75,75,4.7
137,Opuwo,NA,5/13/2020 19:43,-18.06,13.84,68.97,34,0,7.31
138,Puerto Ayora,EC,5/13/2020 19:43,-0.74,-90.35,84.2,70,20,19.46
139,Kjollefjord,NO,5/13/2020 19:43,70.95,27.35,37.4,59,99,3.36
140,Longyearbyen,SJ,5/13/2020 19:43,78.22,15.64,32,93,40,26.4
141,Saint-Pierre,RE,5/13/2020 19:43,-21.34,55.48,69.8,73,40,3.36
142,Bethel,US,5/13/2020 19:43,41.37,-73.41,61,22,1,13.87
143,Lamu,KE,5/13/2020 19:43,-2.27,40.9,79.32,83,50,10.51
144,Warmbad,NA,5/13/2020 19:43,-28.45,18.73,61.14,29,0,3.4
145,Lagoa,PT,5/13/2020 19:43,39.05,-27.98,57.52,69,93,20.85
146,Athabasca,CA,5/13/2020 19:43,54.72,-113.29,57.88,36,0,7.96
147,Salamanca,ES,5/13/2020 19:40,40.83,-6,59,81,100,5.82
148,Ahuimanu,US,5/13/2020 19:43,21.44,-157.84,80.6,65,75,9.17
149,Carnarvon,AU,5/13/2020 19:43,-24.87,113.63,70.59,34,0,10.51
150,Upernavik,GL,5/13/2020 19:43,72.79,-56.15,35.82,85,100,2.86
151,Maceio,BR,5/13/2020 19:43,-9.67,-35.74,82.4,78,40,11.41
152,Klaksvik,FO,5/13/2020 19:43,62.23,-6.59,41,75,99,9.17
153,Sassandra,CI,5/13/2020 19:43,4.95,-6.08,80.92,82,100,5.44
154,Altamont,US,5/13/2020 19:43,42.21,-121.74,46.99,75,90,8.05
