City_ID,City.1,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
293,Alyangula,AU,89.96,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
294,Dingle,PH,88.14,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
297,Kirakira,SB,83.68,overcast clouds,-10.4544,161.9205,SanBiz Lodge
301,Anapolis,BR,75.67,clear sky,-16.3267,-48.9528,Hotel Anápolis
305,Coahuayana,MX,74.79,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
307,Cap Malheureux,MU,75.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
320,Jaisalmer,IN,86.2,clear sky,26.9147,70.9181,Hotel Fifu
324,Pastos Bons,BR,73.98,clear sky,-6.6017,-44.0767,Área de lazer casa (Pucina)
326,Soyo,AO,76.1,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
330,Kloulklubed,PW,80.42,light rain,7.0419,134.2556,Storyboard Beach Resort
331,Lamu,KE,77.22,overcast clouds,-2.2717,40.902,Lamu House
333,Eenhana,,71.24,scattered clouds,-17.4667,16.3333,Hotel Litu
334,Colon,PA,77.45,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
336,Bafq,IR,78.42,scattered clouds,31.6128,55.4107,Alamdar Hotel
338,Tamandare,BR,73.63,clear sky,-8.7597,-35.1047,Pousada 100 Passos
339,Praya,CV,73.94,few clouds,14.9215,-23.5087,LT Aparthotel
341,Shimoda,JP,73.76,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
343,Kutum,SD,71.65,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
349,Ambulu,ID,84.81,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
350,Mahanoro,MG,74.62,overcast clouds,-19.9,48.8,BUNGALOW MAHAMANINA
352,Guantanamo,CU,80.17,overcast clouds,20.1444,-75.2092,Hotel Guantánamo
354,Oistins,BB,80.06,clear sky,13.0667,-59.5333,Butterfly Beach Hotel
355,Kipini,KE,77.29,overcast clouds,-2.5257,40.5262,Delta Sea Mall
357,Xam Nua,LA,72.86,overcast clouds,20.4197,104.0439,Xee Wang Guesthouse
358,Port-Gentil,GA,77.79,light rain,-0.7193,8.7815,Fengshui Residence
361,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
363,Vao,NC,71.33,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
364,Tura,IN,83.26,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
367,Ewa Beach,US,80.55,broken clouds,21.3156,-158.0072,Base Lodging
370,Tezu,IN,84.4,clear sky,27.9167,96.1667,Circuit House
371,Rosarito,MX,72.41,scattered clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
375,Byron Bay,AU,71.71,light rain,-28.65,153.6167,Backpackers Inn
376,Alice Springs,AU,89.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
377,Lagunillas,VE,77.36,clear sky,10.1301,-71.2595,Casa de Beatriz y Chucho
378,Kijang,KR,73.13,overcast clouds,35.2442,129.2139,Samyang Beach Villa
384,Miramar,US,71.02,broken clouds,25.9873,-80.2323,Stadium Hotel
388,Bundaberg,AU,79.21,scattered clouds,-24.85,152.35,Takalvan Motel
391,Tandalti,SD,81.99,few clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
392,Sur,OM,86.58,clear sky,22.5667,59.5289,Sur Plaza Hotel
393,Quatre Cocos,MU,75.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
395,Nosy Varika,MG,73.58,broken clouds,-20.5833,48.5333,Hotel Volazara
398,Nara,JP,73.49,scattered clouds,34.6851,135.8049,Guesthouse Nara Komachi
399,Barao De Melgaco,BR,74.41,overcast clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
400,Vaitape,PF,78.55,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
401,Mawlaik,MM,89.28,clear sky,23.6333,94.4167,AKZ Guest House
402,Bengkulu,ID,80.74,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
403,Moerai,PF,73.18,clear sky,-22.4333,-151.3333,Le Manotel
410,Pontianak,ID,87.78,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
413,Karratha,AU,87.24,clear sky,-20.7377,116.8463,ibis Styles Karratha
416,Gat,IL,70.48,broken clouds,31.61,34.7642,OlusHome
