,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Burnie,AU,-41.0667,145.9167,59.94,97,100,14.23,moderate rain
160,Golden,US,39.7555,-105.2211,62.29,23,0,9.22,clear sky
161,Castro,BR,-24.7911,-50.0119,60.55,92,100,10.25,overcast clouds
162,Grand Gaube,MU,-20.0064,57.6608,75.38,71,37,5.99,scattered clouds
163,Kysyl-Syr,RU,63.8986,122.7617,27.12,87,93,7.7,overcast clouds
164,Atambua,ID,-9.1061,124.8925,86.99,58,45,5.1,scattered clouds
165,Coracora,PE,-15.0333,-73.7833,42.73,34,57,1.97,broken clouds
166,Bonavista,CA,48.6499,-53.1147,57.38,96,100,12.77,overcast clouds
167,Conceicao Do Araguaia,BR,-8.2578,-49.2647,79.16,54,17,4.5,few clouds
168,Pozo Colorado,PY,-23.4923,-58.7972,62.8,96,10,2.33,clear sky
169,Broome,US,42.2506,-75.833,39.88,83,74,3.0,broken clouds
170,Ostrovnoy,RU,68.0531,39.5131,36.25,66,100,28.61,light rain
171,Portland,US,45.5234,-122.6762,62.58,82,20,5.75,few clouds
172,Nyurba,RU,63.2842,118.3319,30.06,84,82,7.54,broken clouds
173,Owensboro,US,37.7742,-87.1133,51.19,46,0,6.91,clear sky
174,Poum,NC,-20.2333,164.0167,77.02,68,93,19.6,overcast clouds
175,Cartagena,CO,10.3997,-75.5144,82.02,83,40,2.3,scattered clouds
176,Isangel,VU,-19.55,169.2667,80.71,74,75,9.22,broken clouds
177,Bintulu,MY,3.1667,113.0333,84.61,79,40,1.14,scattered clouds
178,Ilhabela,BR,-23.7781,-45.3581,71.19,88,46,4.45,scattered clouds
179,Chimbote,PE,-9.0853,-78.5783,58.98,89,45,6.73,scattered clouds
180,Rawson,AR,-43.3002,-65.1023,47.95,58,99,11.52,overcast clouds
181,Bone,DE,51.9669,12.1396,53.26,82,100,7.4,overcast clouds
182,Caravelas,BR,-17.7125,-39.2481,71.19,91,16,5.7,few clouds
183,Moussoro,TD,13.6408,16.4901,80.6,23,13,10.09,few clouds
184,Geraldton,AU,-28.7667,114.6,68.95,62,30,15.7,scattered clouds
185,Maamba,ZM,-17.3667,27.15,76.42,45,1,5.79,clear sky
186,Williamsburg,US,37.2707,-76.7075,51.55,86,0,5.75,clear sky
187,Ballina,AU,-28.8667,153.5667,71.78,91,92,17.38,light rain
188,Joconal,HN,15.3544,-88.6356,67.21,100,99,1.3,overcast clouds
189,Kamenka,RU,51.3223,42.7678,40.32,82,100,18.07,moderate rain
190,Husavik,IS,66.0449,-17.3389,35.33,92,100,3.53,overcast clouds
191,Sakakah,SA,29.9697,40.2064,72.97,29,17,4.54,few clouds
192,Todos Santos,MX,23.45,-110.2167,77.31,89,8,6.51,clear sky
193,Paita,PE,-5.0892,-81.1144,59.99,89,99,10.18,overcast clouds
194,Suicheng,CN,33.8963,117.9331,66.97,57,100,5.46,overcast clouds
195,Finschhafen,PG,-6.6024,147.8681,86.29,64,60,6.85,broken clouds
196,Kaura Namoda,NG,12.5898,6.5779,74.73,29,4,8.52,clear sky
197,Nalut,LY,30.3333,10.85,60.66,62,0,8.19,clear sky
198,Hovd,MN,48.0056,91.6419,46.04,27,75,3.53,broken clouds
199,Walvis Bay,NA,-22.9575,14.5053,59.95,88,94,11.5,overcast clouds
200,Sarkand,KZ,45.41,79.9186,59.5,25,76,4.83,broken clouds
201,Kaitangata,NZ,-46.2817,169.8464,52.95,48,66,11.61,broken clouds
202,Ewo,CG,-0.8725,14.8206,70.09,96,100,2.39,overcast clouds
203,Kudahuvadhoo,MV,2.6708,72.8944,81.88,71,94,13.78,overcast clouds
204,Ilulissat,GL,69.2167,-51.1,21.22,73,75,2.3,broken clouds
205,Kalmunai,LK,7.4167,81.8167,79.61,82,100,2.39,moderate rain
